date,rate,abs
2022-04-19T12:09:01,8.000267,50
2022-04-19T12:10:01,11,61
2022-04-19T12:11:01,8,69
2022-04-19T12:12:01,10.00067,79
2022-04-19T12:13:01,11.00018,90
2022-04-19T12:14:01,6.999184,97
2022-04-19T12:15:01,8.000134,105
2022-04-19T12:16:01,12,117
2022-04-19T12:17:01,7.000583,124
2022-04-19T12:18:02,7.9996,132
2022-04-19T12:19:01,8.000533,140
2022-04-19T12:20:01,11.9994,152
2022-04-19T12:21:01,9.0003,161
2022-04-19T12:22:01,15.00025,176
2022-04-19T12:23:01,7.999333,184
2022-04-19T12:24:01,8.000667,192
2022-04-19T12:25:01,8.99925,201
2022-04-19T12:26:01,9.00075,210
2022-04-19T12:39:01,8.000267,45
2022-04-19T12:40:01,6.999767,52
2022-04-19T12:41:01,6.999767,52
2022-04-19T12:44:01,7.999867,108
2022-04-19T12:45:01,9.999833,118
2022-04-19T12:46:01,13.00043,131
2022-04-19T12:47:01,11.00055,142
2022-04-19T12:48:01,5.9999,148
2022-04-19T12:49:01,15.99893,164
2022-04-19T12:50:02,13.00043,177
2022-04-19T12:51:01,13.00043,177
2022-04-19T12:52:01,16.0008,193
2022-04-19T12:53:01,29.00048,232
2022-04-19T12:54:01,14,246
2022-04-19T12:55:01,16,262
2022-04-19T12:56:01,16,262
2022-04-19T12:57:01,25.00125,287
2022-04-19T12:58:01,17.00142,313
2022-04-19T12:59:01,16.99887,330
2022-04-19T13:00:01,383.0255,713
2022-04-19T13:01:01,383.0255,713
2022-04-19T13:02:01,343,1056
2022-04-19T13:03:01,59.00787,1492
2022-04-19T13:04:01,28.00093,1520
2022-04-19T13:05:01,14.0007,1534
2022-04-19T13:06:01,23.9988,1558
2022-04-19T13:07:01,23.9996,1582
2022-04-19T13:08:01,13.00022,1595
2022-04-19T13:09:01,13,1608
2022-04-19T13:10:01,9.00015,1617
2022-04-19T13:11:01,9.00015,1617
2022-04-19T13:12:01,218.0036,1835
2022-04-19T13:13:01,342.9943,2178
2022-04-19T13:14:01,372,2974
2022-04-19T13:15:01,389.9805,3364
2022-04-19T13:16:01,389.9805,3364
2022-04-19T13:17:01,383.0447,3774
2022-04-19T13:18:01,403.9798,4561
2022-04-19T13:19:01,380.9937,4942
2022-04-19T13:20:01,,
2022-04-19T13:21:01,,
2022-04-19T13:22:01,,
2022-04-19T13:23:01,,
2022-04-19T13:24:01,,
2022-04-19T13:25:01,,
2022-04-19T13:26:02,,
