date,rate,abs
2022-04-19T15:19:01,7.00035,129
2022-04-19T15:20:01,10.99982,140
2022-04-19T15:21:01,11.00018,151
2022-04-19T15:22:01,11.9994,163
2022-04-19T15:23:01,12,175
2022-04-19T15:24:01,12.0004,187
2022-04-19T15:25:01,7.000117,194
2022-04-19T15:26:01,11.9994,206
2022-04-19T15:27:01,6.0001,212
2022-04-19T15:28:01,7.999867,220
2022-04-19T15:29:01,9.00015,229
2022-04-19T15:30:01,11.9994,241
2022-04-19T15:31:01,8.000533,249
2022-04-19T15:32:01,10.00017,259
2022-04-19T15:33:01,16,275
2022-04-19T15:34:01,9.999333,285
2022-04-19T15:35:01,9.00045,294
2022-04-19T15:36:01,8.99955,303
2022-04-19T15:37:01,10.00067,313
2022-04-19T15:38:01,6.999767,320
2022-04-19T15:39:01,9.999833,330
2022-04-19T15:40:01,15.99973,346
2022-04-19T15:41:01,9,355
2022-04-19T15:42:01,15.00075,370
2022-04-19T15:43:01,9.00015,379
2022-04-19T15:44:01,3.999733,383
2022-04-19T15:45:01,9,392
2022-04-19T15:46:01,14.00093,406
2022-04-19T15:47:01,11.9992,418
2022-04-19T15:48:01,3.0002,421
2022-04-19T15:49:01,12.99978,434
2022-04-19T15:50:01,5.9997,440
2022-04-19T15:51:01,7.000117,447
2022-04-19T15:52:01,5.00025,452
2022-04-19T15:53:01,15.99973,468
2022-04-19T15:54:01,10.00017,478
2022-04-19T15:55:01,11.9992,490
2022-04-19T15:56:01,19.00127,509
2022-04-19T15:57:01,19,528
2022-04-19T15:58:01,5.9996,534
2022-04-19T15:59:01,6.0004,540
2022-04-19T16:00:01,14,554
2022-04-19T16:01:01,16,570
2022-04-19T16:02:01,12.99935,583
2022-04-19T16:03:01,12.0004,595
2022-04-19T16:04:01,10,605
2022-04-19T16:05:01,10.99963,616
2022-04-19T16:06:01,17.9997,634
2022-04-19T16:07:01,22.00147,656
2022-04-19T16:08:01,12.99978,669
2022-04-19T16:09:01,14.00023,683
2022-04-19T16:10:01,4.999667,688
2022-04-19T16:11:01,11.00073,699
2022-04-19T16:12:01,20,719
2022-04-19T16:13:01,4.999667,724
2022-04-19T16:14:01,15,739
2022-04-19T16:15:01,13.00087,752
2022-04-19T16:16:01,16.99943,769
2022-04-19T16:17:01,10.99982,780
2022-04-19T16:18:01,4.0002,784
2022-04-19T16:19:01,8,792
2022-04-19T16:20:01,13.99907,806
2022-04-19T16:21:01,7,813
2022-04-19T16:22:01,13.00087,826
2022-04-19T16:23:01,4.999667,831
2022-04-19T16:24:01,7.000233,838
2022-04-19T16:25:01,8.000267,846
2022-04-19T16:26:01,12.99935,859
2022-04-19T16:27:01,7.999867,867
2022-04-19T16:28:01,11.9998,879
2022-04-19T16:29:01,9.00015,888
2022-04-19T16:30:01,11.00073,899
2022-04-19T16:31:01,11,910
2022-04-19T16:32:01,12.99978,923
2022-04-19T16:33:01,13.00022,936
2022-04-19T16:34:01,13.99907,950
2022-04-19T16:35:01,14.00047,964
2022-04-19T16:36:01,11,975
2022-04-19T16:37:01,14.9995,990
2022-04-19T16:38:01,7.000467,997
2022-04-19T16:39:01,16,1013
2022-04-19T16:40:01,8.9997,1022
2022-04-19T16:41:01,12.99957,1035
2022-04-19T16:42:01,10.00017,1045
2022-04-19T16:43:01,8.0004,1053
2022-04-19T16:44:01,8,1061
2022-04-19T16:45:01,14,1075
2022-04-19T16:46:01,7.9996,1083
2022-04-19T16:47:01,13.99977,1097
2022-04-19T16:48:01,9.0006,1106
2022-04-19T16:49:01,13,1119
2022-04-19T16:50:01,13,1132
2022-04-19T16:51:01,12,1144
2022-04-19T16:52:01,9.999666,1154
2022-04-19T16:53:01,13.00022,1167
2022-04-19T16:54:01,14.00023,1181
2022-04-19T16:55:02,10,1191
2022-04-19T16:56:01,14.999,1206
2022-04-19T16:57:01,15.001,1221
2022-04-19T16:58:01,15,1236
2022-04-19T16:59:01,13,1249
2022-04-19T17:00:01,15,1264
2022-04-19T17:01:01,8.9997,1273
2022-04-19T17:02:01,18,1291
2022-04-19T17:03:01,18.0006,1309
2022-04-19T17:04:01,7,1316
2022-04-19T17:05:01,3.999933,1320
2022-04-19T17:06:01,10.99945,1331
2022-04-19T17:07:01,16.00027,1347
2022-04-19T17:08:01,16,1363
2022-04-19T17:09:01,5.00025,1368
2022-04-19T17:10:01,5.9998,1374
2022-04-19T17:11:01,12.99957,1387
2022-04-19T17:12:02,7.00035,1394
2022-04-19T17:13:01,12.0002,1406
2022-04-19T17:14:01,11,1417
2022-04-19T17:15:01,13.99907,1431
2022-04-19T17:16:01,3.00005,1434
2022-04-19T17:17:02,11,1445
2022-04-19T17:18:01,10.00017,1455
2022-04-19T17:19:01,7.000233,1462
2022-04-19T17:20:01,13,1475
2022-04-19T17:21:01,8.99925,1484
2022-04-19T17:22:01,15.00125,1499
2022-04-19T17:23:01,10.99982,1510
2022-04-19T17:24:01,9.999833,1520
2022-04-19T17:25:01,16.99915,1537
2022-04-19T17:26:01,9.00015,1546
2022-04-19T17:27:01,10.00067,1556
2022-04-19T17:28:01,11,1567
2022-04-19T17:29:01,7.999467,1575
2022-04-19T17:30:01,8.000533,1583
2022-04-19T17:31:01,7.999333,1591
2022-04-19T17:32:01,6.0004,1597
2022-04-19T17:33:01,5.9996,1603
2022-04-19T17:34:01,9.00075,1612
2022-04-19T17:35:01,14,1626
2022-04-19T17:36:01,7.9996,1634
2022-04-19T17:37:01,16.0008,1650
2022-04-19T17:38:01,6.99965,1657
2022-04-19T17:39:02,9.00045,1666
2022-04-19T17:40:01,8,1674
2022-04-19T17:41:01,7.999333,1682
2022-04-19T17:42:01,9.00045,1691
2022-04-19T17:43:01,3.0001,1694
2022-04-19T17:44:01,12,1706
2022-04-19T17:45:01,14.9985,1721
2022-04-19T17:46:01,11.0011,1732
2022-04-19T17:47:01,7.999467,1740
2022-04-19T17:48:01,11,1751
2022-04-19T17:49:01,16.00107,1767
2022-04-19T17:50:01,10,1777
2022-04-19T17:51:01,5.9995,1783
2022-04-19T17:52:01,6.0001,1789
2022-04-19T17:53:01,6.0001,1795
2022-04-19T17:54:01,8.0004,1803
2022-04-19T17:55:01,10.99927,1814
2022-04-19T17:56:01,17.00028,1831
2022-04-19T17:57:01,7.00035,1838
2022-04-19T17:58:01,10.99927,1849
2022-04-19T17:59:01,6.0003,1855
2022-04-19T18:00:02,11.00018,1866
2022-04-19T18:01:01,14.99975,1881
2022-04-19T18:02:02,10.99982,1892
2022-04-19T18:03:01,7,1899
2022-04-19T18:04:01,6.0002,1905
2022-04-19T18:05:01,15.99893,1921
2022-04-19T18:06:01,6.0004,1927
2022-04-19T18:07:01,13,1940
2022-04-19T18:08:01,10.99945,1951
2022-04-19T18:09:01,9.0003,1960
2022-04-19T18:10:01,12.0002,1972
2022-04-19T18:11:01,10,1982
2022-04-19T18:12:01,10.99945,1993
2022-04-19T18:13:01,10.99982,2004
2022-04-19T18:14:01,9.00045,2013
2022-04-19T18:15:01,9.999666,2023
2022-04-19T18:16:01,16,2039
2022-04-19T18:17:01,12.0006,2051
2022-04-19T18:18:01,7.999733,2059
2022-04-19T18:19:01,11.9996,2071
2022-04-19T18:20:02,3.00005,2074
2022-04-19T18:21:01,7.00035,2081
2022-04-19T18:22:01,8.99925,2090
2022-04-19T18:23:01,9.00015,2099
2022-04-19T18:24:01,15.001,2114
2022-04-19T18:25:01,12,2126
2022-04-19T18:26:01,8,2134
2022-04-19T18:27:01,14.999,2149
2022-04-19T18:28:01,10.00067,2159
2022-04-19T18:29:01,9.999333,2169
2022-04-19T18:30:01,12.0008,2181
2022-04-19T18:31:01,11.9994,2193
2022-04-19T18:32:01,7.00035,2200
2022-04-19T18:33:01,11.9998,2212
2022-04-19T18:34:01,5.000083,2217
2022-04-19T18:35:01,13,2230
2022-04-19T18:36:01,12.99935,2243
2022-04-19T18:37:01,9,2252
2022-04-19T18:38:01,3.999933,2256
2022-04-19T18:39:01,14.00023,2270
2022-04-19T18:40:01,10.00033,2280
2022-04-19T18:41:01,4.000067,2284
2022-04-19T18:42:01,6.999533,2291
2022-04-19T18:43:01,7.000467,2298
2022-04-19T18:44:01,8,2306
2022-04-19T18:45:01,6,2312
2022-04-19T18:46:01,8.9997,2321
2022-04-19T18:47:01,9.0003,2330
2022-04-19T18:48:01,14,2344
2022-04-19T18:49:02,9.9995,2354
2022-04-19T18:50:01,8.0004,2362
2022-04-19T18:51:01,14,2376
2022-04-19T18:52:01,3.9998,2380
2022-04-19T18:53:01,17.00085,2397
2022-04-19T18:54:01,9.999333,2407
2022-04-19T18:55:01,11.00018,2418
2022-04-19T18:56:01,5.9999,2424
2022-04-19T18:57:02,8.000533,2432
2022-04-19T18:58:01,10.99927,2443
2022-04-19T18:59:01,9.0006,2452
2022-04-19T19:00:01,7.999867,2460
2022-04-19T19:01:01,13.99953,2474
2022-04-19T19:02:01,6.0003,2480
2022-04-19T19:03:01,7,2487
2022-04-19T19:04:01,11.9996,2499
2022-04-19T19:05:01,11.00037,2510
2022-04-19T19:06:01,6,2516
2022-04-19T19:07:02,9.9995,2526
2022-04-19T19:08:01,7,2533
2022-04-19T19:09:01,5.9998,2539
2022-04-19T19:10:01,12.0008,2551
2022-04-19T19:11:01,12.0002,2563
2022-04-19T19:12:01,10,2573
2022-04-19T19:13:01,5.9996,2579
2022-04-19T19:14:01,4.0002,2583
2022-04-19T19:15:01,8.99955,2592
2022-04-19T19:16:01,11.00073,2603
2022-04-19T19:17:01,5,2608
2022-04-19T19:18:01,9.999167,2618
2022-04-19T19:19:01,13.00087,2631
2022-04-19T19:20:01,15.00025,2646
2022-04-19T19:21:01,5.9999,2652
2022-04-19T19:22:01,9.00015,2661
2022-04-19T19:23:01,12.99957,2674
2022-04-19T19:24:01,10.00033,2684
2022-04-19T19:25:01,6.999533,2691
2022-04-19T19:26:01,2.000133,2693
2022-04-19T19:27:01,4,2697
2022-04-19T19:28:01,11.9998,2709
2022-04-19T19:29:01,6.999883,2716
2022-04-19T19:30:01,10,2726
2022-04-19T19:31:01,14.00047,2740
2022-04-19T19:32:01,16.99887,2757
2022-04-19T19:33:01,9.0006,2766
2022-04-19T19:34:01,6,2772
2022-04-19T19:35:01,6,2778
2022-04-19T19:36:01,3.999933,2782
2022-04-19T19:37:01,11.9994,2794
2022-04-19T19:38:02,7.000467,2801
2022-04-19T19:39:01,10.99945,2812
2022-04-19T19:40:01,7.00035,2819
2022-04-19T19:41:01,8.9997,2828
2022-04-19T19:42:01,9.999666,2838
2022-04-19T19:43:01,9,2847
2022-04-19T19:44:01,12.0008,2859
2022-04-19T19:45:01,10.99945,2870
2022-04-19T19:46:01,12.0004,2882
2022-04-19T19:47:01,16.99915,2899
2022-04-19T19:48:01,7.000233,2906
